Order.ID,Customer.ID,Product.ID,Order.Date
130813,LS-172304,OFF-PA-10002005,2020-01-07
148614,MV-174854,OFF-PA-10002893,2020-01-21
118962,CS-121304,OFF-PA-10000659,2020-08-05
146969,AP-109154,OFF-PA-10002105,2020-09-29
117317,JF-154904,OFF-PA-10004519,2020-10-19
125829,WB-218504,OFF-PA-10000223,2020-11-04
151295,JA-159704,OFF-PA-10001947,2020-11-12
135090,SP-209204,OFF-PA-10002245,2020-11-22
133830,RL-196154,OFF-PA-10001363,2020-12-05
113579,KD-163454,OFF-PA-10001457,2020-12-13
116092,JM-161954,OFF-PA-10004285,2021-02-15
121776,RD-195854,OFF-PA-10001970,2021-02-16
131534,AB-101654,OFF-PA-10000743,2021-03-28
136987,AR-105404,OFF-PA-10003127,2021-04-11
121965,LH-171554,OFF-PA-10004355,2021-06-19
112319,AR-105104,OFF-PA-10003441,2021-08-31
137708,NG-184304,OFF-PA-10000176,2021-11-22
105347,DP-130004,OFF-PA-10000675,2021-11-24
153416,TS-213404,OFF-PA-10002005,2021-11-24
135545,KM-167204,OFF-PA-10003892,2021-11-24
158918,AI-108554,OFF-PA-10004947,2021-12-20
135580,CL-125654,OFF-PA-10000595,2021-12-30
119270,SW-202454,OFF-PA-10004022,2022-03-13
131380,CC-122204,OFF-PA-10001243,2022-03-29
130477,LC-171404,OFF-PA-10002947,2022-04-09
163594,JF-152954,OFF-PA-10000809,2022-04-13
115819,JO-152804,OFF-PA-10002377,2022-04-20
111696,TB-216254,OFF-PA-10002751,2022-05-09
162733,TT-210704,OFF-PA-10002751,2022-05-12
133144,DO-134354,OFF-PA-10004971,2022-05-17
136994,LS-172454,OFF-PA-10000575,2022-05-28
134803,CL-125654,OFF-PA-10003790,2022-05-29
113243,OT-187304,OFF-PA-10003441,2022-06-11
148593,BD-113204,OFF-PA-10001776,2022-06-17
123512,MV-181904,OFF-PA-10001497,2022-06-18
130029,GT-147554,OFF-PA-10000552,2022-07-04
135265,CC-123704,OFF-PA-10002923,2022-07-08
136021,JM-155804,OFF-PA-10000551,2022-08-15
167241,BD-113204,OFF-PA-10004911,2022-08-16
101497,PS-187604,OFF-PA-10000176,2022-09-30
155033,CC-124754,OFF-PA-10000143,2022-10-08
162026,JE-157454,OFF-PA-10000167,2022-10-09
109365,XP-218654,OFF-PA-10004359,2022-11-04
158694,AI-108554,OFF-PA-10002421,2022-11-11
149076,SO-203354,OFF-PA-10000483,2023-01-15
104647,CK-125954,OFF-PA-10002870,2023-02-24
128965,PS-187604,OFF-PA-10004911,2023-04-18
120222,LL-168404,OFF-PA-10004675,2023-04-26
147844,DD-135704,OFF-PA-10003016,2023-05-03
152002,DV-134654,OFF-PA-10000357,2023-06-12
112753,CC-126704,OFF-PA-10002036,2023-06-19
113201,TT-212204,OFF-PA-10000675,2023-07-01
133718,TB-215204,OFF-PA-10002689,2023-07-24
